Income,Age,Workclass,Education.num,Race,Sex,Hours.per.week
High,31,Private,12,White,Male,40
Low,35,?,9,White,Male,40
Low,39,Private,10,White,Male,40
Low,28,Private,12,White,Female,60
Low,24,Private,9,White,Female,40
Low,38,NA,9,White,Male,35
Low,37,Private,13,White,Male,50
Low,46,Private,12,Black,Female,36
High,38,Federal-gov,14,White,Male,40
Low,43,Self-emp-not-inc,9,White,Male,60
Low,27,Private,11,White,Female,35
Low,20,Private,10,White,Male,20
High,49,Private,NA,Asian-Pac-Islander,Male,40
Low,61,Self-emp-inc,NA,White,Male,40
Low,27,Private,10,White,Female,40
Low,NA,Private,10,White,Male,30
High,45,Private,11,White,Female,40
Low,70,Private,10,White,Male,40
Low,31,Private,9,Black,Female,30
Low,22,Private,10,White,Male,24
Low,36,Private,NA,White,Female,24
Low,64,Private,7,White,Male,40
Low,43,?,10,White,Female,40
Low,47,Local-gov,10,White,Female,38
Low,34,Private,9,White,Female,40
Low,33,Private,NA,Asian-Pac-Islander,Female,40
Low,21,Private,NA,White,Male,35
High,NA,?,9,White,Male,45
Low,48,Private,9,White,Male,46
Low,23,Private,13,White,Male,40
Low,71,Self-emp-not-inc,10,Black,Male,2
Low,29,Private,9,White,Male,60
Low,42,Private,13,Black,Male,50
Low,NA,?,2,White,Female,20
Low,25,Private,9,White,Female,40
Low,44,Self-emp-inc,14,Asian-Pac-Islander,Female,40
Low,28,Private,9,Asian-Pac-Islander,NA,40
High,45,Self-emp-not-inc,14,White,Male,40
Low,NA,Private,NA,White,Female,40
Low,39,Federal-gov,12,White,Male,42
Low,46,State-gov,14,White,Male,40
Low,NA,Private,7,White,Male,16
Low,66,Local-gov,11,White,Female,20
Low,27,Private,9,White,NA,40
Low,28,State-gov,9,White,Male,40
High,51,Private,10,White,Male,40
Low,27,Private,13,White,Male,50
High,28,State-gov,13,White,Male,40
Low,NA,Private,9,White,Female,25
Low,21,Private,9,Black,Male,40
Low,34,Private,9,Black,Male,40
Low,18,Private,9,White,NA,12
Low,33,Private,13,White,Male,65
High,44,Local-gov,10,Black,Male,38
Low,43,Private,10,White,Female,40
Low,30,Private,10,Black,Male,45
High,40,Private,4,White,Male,40
High,37,Federal-gov,10,White,Male,42
Low,34,Private,9,Black,Male,40
Low,41,Self-emp-not-inc,13,White,Female,40
Low,53,?,13,White,Female,50
Low,31,Private,14,White,Female,50
High,58,State-gov,NA,White,Male,1
Low,38,Private,10,Black,Female,28
Low,24,Private,10,White,Male,40
Low,41,Local-gov,13,Black,Male,40
Low,47,NA,10,White,Male,45
Low,41,Federal-gov,13,White,Male,24
Low,NA,Private,NA,White,Male,40
Low,36,Private,10,NA,Male,40
High,40,Federal-gov,14,White,Female,NA
High,35,Private,14,White,Male,40
Low,24,Self-emp-not-inc,9,White,Male,NA
Low,26,Private,14,White,Female,40
Low,19,?,9,White,Male,40
High,51,Private,13,White,Male,50
Low,42,Local-gov,10,White,Female,40
Low,37,State-gov,9,White,Female,35
Low,18,Private,7,White,Female,40
High,36,Private,13,Black,Male,36
Low,35,Private,9,White,Male,60
High,58,Self-emp-inc,9,White,Female,NA
Low,17,Private,NA,White,Female,12
Low,44,Local-gov,9,Black,Male,40
High,37,Private,9,White,Male,40
Low,35,Private,10,Amer-Indian-Eskimo,Female,40
Low,60,Private,9,Asian-Pac-Islander,Male,40
High,54,Self-emp-inc,4,White,Male,40
High,37,Private,13,Black,Male,60
Low,50,Private,12,White,Female,40
Low,38,Private,13,White,NA,50
Low,45,Private,13,White,Male,55
Low,25,Private,6,White,Male,40
Low,31,Private,10,White,Male,40
Low,64,?,2,White,Male,40
Low,90,Private,9,Black,Male,40
Low,54,NA,9,Black,Male,20
Low,53,Local-gov,1,White,Female,35
Low,18,Private,9,White,Female,40
Low,NA,?,6,Amer-Indian-Eskimo,Female,10
Low,66,Self-emp-not-inc,9,White,NA,50
Low,75,Private,NA,White,Female,20
Low,65,Private,9,White,Female,40
Low,35,Private,7,NA,Male,40
Low,41,Private,9,Black,Female,38
Low,NA,Private,10,White,Male,42
Low,33,Private,10,NA,Female,40
High,28,Private,15,White,Male,55
Low,NA,State-gov,9,White,Male,40
Low,40,NA,10,White,Female,38
High,41,Private,13,White,Male,50
High,NA,Local-gov,14,White,Male,70
Low,23,Private,9,White,Male,40
High,40,Private,13,White,Male,40
Low,41,Self-emp-not-inc,9,White,Female,20
Low,24,State-gov,12,White,Male,50
Low,20,?,10,NA,Male,20
Low,38,Private,10,White,Male,40
Low,56,Private,9,NA,Male,35
High,58,Private,9,White,Male,45
Low,NA,Private,9,White,Female,34
High,40,Private,NA,White,Male,60
Low,45,Private,9,White,Male,NA
High,41,Private,15,White,Female,40
Low,42,Private,13,Black,Female,40
Low,59,Local-gov,6,Black,Female,30
Low,19,Local-gov,10,White,Male,40
Low,58,Private,10,White,Male,20
High,42,Self-emp-not-inc,9,Asian-Pac-Islander,Male,40
Low,20,Private,9,White,Female,40
Low,32,Private,9,White,Female,30
Low,45,Private,11,White,Female,45
Low,50,Private,4,White,Male,40
Low,36,Private,13,White,Female,40
Low,45,Private,9,White,Male,60
Low,17,Private,7,White,NA,12
Low,NA,Private,10,White,Male,40
Low,NA,Private,7,White,Male,40
High,37,Self-emp-inc,10,Asian-Pac-Islander,Male,75
Low,19,?,10,White,Male,NA
High,64,Private,9,White,Male,40
Low,33,Private,13,White,Female,45
High,33,Private,9,White,Female,40
High,61,Private,9,White,Male,40
Low,17,Private,5,White,Male,24
Low,50,Self-emp-not-inc,14,White,NA,98
Low,27,Local-gov,NA,White,Male,35
Low,30,Private,9,White,Female,40
Low,43,Private,9,Black,Male,40
High,44,NA,10,White,Male,40
Low,35,Private,10,White,Female,40
Low,NA,Private,10,White,Female,40
High,NA,Private,10,White,Female,48
Low,22,Private,13,White,Female,15
High,42,Local-gov,10,White,Male,40
Low,34,Private,12,Black,Female,45
Low,60,Private,13,White,Female,42
Low,21,Private,9,White,Male,40
High,57,Federal-gov,14,White,Male,40
High,41,Private,NA,White,Male,60
Low,50,Private,10,White,Male,45
Low,25,Private,13,White,Female,40
Low,50,Private,4,White,Male,40
Low,36,Private,NA,White,Male,45
Low,31,Private,9,White,Female,40
Low,29,Local-gov,13,White,Male,56
Low,21,Private,10,White,Male,45
Low,27,Private,13,Black,Female,40
Low,65,Private,9,White,Male,16
Low,37,Self-emp-inc,13,White,Female,60
Low,39,?,14,Asian-Pac-Islander,Female,40
Low,24,Private,9,White,Male,40
Low,38,Private,9,White,Male,NA
High,48,Private,13,White,Male,40
Low,21,Private,10,Asian-Pac-Islander,Female,25
High,31,Private,9,White,Male,45
High,55,Private,9,White,Male,40
Low,24,Private,10,Asian-Pac-Islander,Female,40
Low,43,Private,9,White,Female,40
Low,26,Private,12,White,Male,45
Low,46,Private,12,White,Female,NA
High,35,Private,12,White,Male,40
High,41,Self-emp-inc,10,White,Male,54
Low,26,Private,13,White,Male,40
High,34,Private,14,Asian-Pac-Islander,Male,NA
Low,19,?,10,Black,Female,25
High,36,Self-emp-not-inc,13,Black,Female,40
Low,22,Private,10,White,Male,15
Low,24,Private,10,White,Male,40
Low,77,Self-emp-not-inc,10,White,Male,40
Low,22,Private,3,White,Female,40
Low,29,Private,10,White,Female,40
Low,62,Private,9,White,Female,24
Low,39,Self-emp-not-inc,9,White,NA,40
Low,43,Private,10,NA,Male,50
Low,35,Private,9,White,Male,45
Low,NA,Private,7,White,Female,40
Low,76,Self-emp-not-inc,14,White,Male,10
Low,63,Self-emp-not-inc,9,White,Male,NA
Low,23,?,NA,Black,Female,15
High,43,Private,NA,White,NA,50
Low,58,Self-emp-not-inc,9,NA,Male,40
Low,66,Private,9,White,Male,55
Low,41,Private,10,Black,Male,45
Low,26,Private,13,White,Male,40
Low,47,Private,11,White,Male,40
Low,55,Local-gov,NA,White,Male,40
Low,53,Private,9,White,Male,40
Low,17,Private,NA,White,Male,48
Low,30,Private,9,White,Male,40
Low,49,Private,14,White,Male,60
Low,19,Private,9,Black,Male,30
Low,45,Private,9,NA,Male,40
Low,26,Private,12,NA,Male,40
High,38,Private,11,White,Male,40
High,36,State-gov,9,White,Male,40
Low,33,Private,9,White,Male,20
Low,22,NA,10,Black,NA,40
Low,43,Self-emp-not-inc,13,White,Male,42
Low,67,?,7,White,Male,8
Low,NA,?,11,White,Female,40
Low,56,Private,12,White,Male,25
Low,31,Private,13,White,Male,25
High,33,Private,13,White,Male,40
Low,26,Private,9,White,Male,40
High,33,Private,13,White,Male,40
Low,46,Local-gov,7,NA,Male,30
High,59,?,13,White,Male,40
High,38,Federal-gov,9,White,Male,40
Low,65,Private,7,NA,Male,40
High,40,Private,11,White,Male,40
Low,42,Private,NA,White,Female,35
Low,26,Self-emp-not-inc,5,White,Male,40
Low,36,Private,6,White,Female,24
High,62,Private,14,White,Male,40
Low,43,Private,13,White,Male,45
High,43,Private,13,White,Male,45
Low,NA,Private,9,White,Male,55
Low,28,Private,9,White,Male,40
Low,56,Self-emp-not-inc,10,White,Male,45
Low,22,Private,12,White,Female,15
High,57,Private,13,White,Female,45
Low,39,Private,9,NA,Female,40
Low,26,NA,10,White,Female,15
Low,17,Private,7,NA,Male,10
High,40,State-gov,11,White,Male,38
Low,45,Private,9,Black,Male,40
Low,44,Private,9,Black,Male,40
Low,20,Local-gov,10,White,NA,10
Low,33,Private,9,White,Female,40
Low,23,Private,10,White,Male,NA
Low,46,Self-emp-not-inc,14,White,Male,30
Low,38,Private,9,White,Male,50
Low,54,Private,9,White,Male,40
Low,46,Private,3,White,Female,45
Low,25,Private,NA,White,Male,40
Low,46,Private,10,White,Female,40
Low,36,Local-gov,10,White,Female,40
Low,23,Private,9,White,Female,25
Low,29,Private,9,White,Male,40
High,44,Private,10,White,Female,6
Low,19,Private,10,White,Female,16
Low,19,Private,9,White,Female,40
High,35,Private,9,White,Female,40
Low,27,Private,13,White,Male,50
Low,46,Self-emp-not-inc,12,White,Male,40
High,34,State-gov,13,White,Male,45
Low,34,Private,9,White,Female,35
Low,44,Private,10,White,NA,40
Low,45,NA,10,White,Female,40
Low,20,?,NA,White,Female,35
High,25,Private,13,White,Male,55
High,52,Self-emp-inc,13,White,Male,50
Low,NA,Private,10,White,Male,40
Low,28,Private,10,White,Female,NA
High,50,State-gov,13,White,Male,40
Low,34,Private,11,White,Female,64
Low,28,Private,4,Other,Male,40
High,41,Private,14,White,Male,65
Low,28,Private,9,White,Male,40
Low,46,Self-emp-not-inc,9,White,Male,25
High,28,?,10,White,Female,40
Low,32,Private,10,White,Male,50
Low,41,Local-gov,10,Black,Female,24
Low,24,Private,9,Black,Female,40
Low,33,Private,10,White,Female,40
High,NA,Private,16,White,Male,60
Low,31,State-gov,10,White,Male,40
High,35,Private,8,White,NA,50
Low,52,Private,2,White,Male,40
Low,30,Private,7,White,Female,19
Low,34,Local-gov,7,Black,Male,40
Low,34,State-gov,NA,White,Female,NA
Low,20,Private,10,White,Male,30
Low,17,Private,7,White,Male,18
High,32,State-gov,13,White,Female,40
Low,29,Private,9,White,Male,40
Low,33,Private,6,White,Female,35
Low,25,Private,9,White,Male,60
Low,36,Federal-gov,14,White,Male,40
Low,23,NA,9,White,Male,72
High,63,Self-emp-inc,9,White,Male,40
Low,47,Local-gov,14,White,Male,40
Low,80,?,9,White,Male,24
Low,17,?,7,NA,Male,NA
Low,40,Self-emp-not-inc,13,White,Female,40
High,30,Private,12,White,Female,25
Low,27,Private,10,Asian-Pac-Islander,Male,40
High,NA,Private,NA,White,Male,50
Low,34,Local-gov,9,Black,Male,60
Low,34,Local-gov,10,White,Female,40
Low,23,Private,10,White,NA,40
Low,42,Local-gov,10,White,Female,40
Low,29,NA,13,White,Male,40
Low,45,Private,9,White,Female,28
Low,24,Federal-gov,9,NA,Male,40
High,44,Private,10,White,Male,40
Low,27,Private,5,White,Male,40
Low,20,Private,NA,White,Male,35
Low,44,Private,9,Black,Female,40
Low,51,Private,9,Amer-Indian-Eskimo,Male,40
Low,20,Private,9,White,Male,NA
Low,17,?,7,White,Female,5
Low,19,Private,9,Black,Female,40
High,45,Self-emp-inc,10,White,Male,55
High,NA,Private,9,White,Male,40
High,42,Private,12,Black,Male,40
High,44,Self-emp-not-inc,9,White,Female,40
High,40,Private,11,Asian-Pac-Islander,NA,40
Low,30,Private,9,White,Female,40
Low,38,Private,10,Black,Male,50
Low,23,Private,9,White,Male,60
Low,32,?,10,White,Male,40
Low,44,Private,12,White,Male,40
Low,54,Local-gov,9,Black,Male,40
Low,32,Private,13,White,Male,50
Low,50,Private,2,NA,Male,40
Low,24,Private,13,White,Female,20
Low,37,Private,9,White,Female,60
Low,52,Private,9,White,Male,40
Low,38,Private,10,White,Male,40
High,49,Private,14,White,Male,45
High,30,Private,13,White,Female,16
High,60,Private,10,White,Male,40
Low,22,?,10,White,Male,40
Low,35,Private,9,White,Male,40
Low,30,Private,9,White,Male,60
Low,67,Private,11,NA,Female,24
Low,46,Private,13,White,Female,40
Low,17,Private,5,White,Male,6
Low,22,Private,10,NA,Male,30
Low,27,Private,6,White,Male,40
Low,23,Private,9,White,Female,35
Low,33,Private,12,White,Male,45
Low,43,Self-emp-not-inc,10,White,Male,20
Low,28,State-gov,13,White,Male,20
Low,41,Private,9,White,Female,40
Low,52,?,8,Black,Male,40
Low,25,Private,10,Black,Female,20
Low,63,?,2,White,NA,35
Low,59,Local-gov,9,White,Male,45
Low,45,Local-gov,13,White,Female,40
High,38,Private,13,White,Male,60
Low,40,Private,9,White,Female,35
Low,46,Federal-gov,NA,White,Male,40
Low,NA,Private,12,White,Female,60
Low,34,Private,NA,White,Female,25
Low,33,Private,13,White,Male,20
Low,41,Private,9,White,Female,36
Low,20,Private,10,White,Male,40
Low,23,Private,3,White,Male,40
Low,26,Private,10,White,Female,35
Low,72,?,9,White,Male,20
Low,23,Local-gov,9,White,Male,40
Low,62,NA,9,White,Male,40
Low,52,Private,10,White,Male,40
Low,58,Private,10,White,Female,42
Low,25,Private,13,White,Female,40
Low,24,Private,13,Black,Male,40
Low,19,Private,NA,White,Male,8
Low,43,Private,10,White,Male,40
Low,47,Local-gov,9,Black,Female,40
Low,39,Private,9,White,Female,40
Low,49,Private,11,White,Male,42
Low,53,?,3,NA,Female,30
Low,32,Private,11,White,Male,45
High,34,Private,10,White,NA,50
Low,28,Private,9,NA,Male,45
Low,57,?,11,White,Female,38
Low,25,Private,10,Amer-Indian-Eskimo,Female,20
Low,NA,?,10,White,Male,24
Low,21,NA,NA,White,Female,35
High,34,Private,13,White,NA,NA
High,38,Self-emp-inc,13,White,Male,80
High,50,Private,9,White,Male,50
Low,24,Local-gov,10,Black,Male,50
High,37,Local-gov,NA,White,Male,45
High,44,NA,10,White,Male,58
Low,28,Private,10,White,Female,40
High,42,Private,13,White,Male,40
Low,74,Private,10,NA,Female,9
Low,38,Self-emp-not-inc,9,White,Male,50
Low,44,Self-emp-not-inc,14,White,Male,40
Low,44,Private,7,Other,Female,46
Low,26,Private,9,White,Male,40
Low,36,Private,9,Black,Male,40
High,41,NA,12,White,Female,50
High,67,Private,15,White,Male,48
Low,39,Local-gov,8,White,Male,50
Low,57,Private,2,Black,NA,30
Low,29,Private,11,White,Male,40
Low,31,Self-emp-inc,13,White,Female,45
Low,34,?,9,Black,Female,40
Low,44,Private,10,White,Male,40
Low,29,Private,16,White,Male,40
Low,30,Private,10,White,Female,40
Low,27,Private,9,White,Male,40
Low,27,Private,10,White,Male,50
Low,32,Private,9,White,Female,45
Low,58,Private,6,White,Female,8
Low,35,NA,10,White,Male,40
Low,21,Private,9,White,Male,36
Low,28,Private,10,White,Male,40
Low,46,Self-emp-not-inc,10,NA,Male,50
Low,36,Self-emp-not-inc,9,White,Female,40
Low,72,Private,7,White,Female,40
Low,35,Private,9,Black,Female,40
High,33,Federal-gov,NA,Black,Female,40
Low,69,Private,7,White,NA,40
Low,35,Private,9,White,Male,40
Low,31,Private,9,White,Female,20
Low,34,Private,9,White,Female,32
Low,30,Private,7,White,Male,40
Low,28,Private,13,White,Male,55
High,54,Private,13,White,Male,35
High,47,Private,NA,White,Male,50
Low,24,Private,9,Black,Female,NA
High,52,Self-emp-not-inc,13,White,Male,60
Low,NA,Private,9,Amer-Indian-Eskimo,Male,48
Low,43,Self-emp-inc,14,White,Male,45
Low,45,Private,4,White,Female,40
Low,29,Self-emp-not-inc,9,White,Male,35
Low,47,Private,14,White,Male,42
Low,24,Private,9,White,Male,40
Low,51,Private,9,White,Male,40
Low,17,Private,7,NA,Male,12
High,37,Private,11,White,Male,40
Low,27,Private,16,White,Female,70
High,29,Private,13,White,Male,40
Low,18,NA,8,White,Male,25
Low,36,Self-emp-not-inc,12,White,Female,35
Low,58,Local-gov,13,White,Female,40
Low,26,Self-emp-not-inc,10,White,Male,45
High,65,?,10,White,Male,30
High,57,Private,9,White,Male,40
Low,59,Private,9,White,Male,40
Low,27,Private,9,White,Male,40
Low,31,Self-emp-not-inc,13,White,Male,40
Low,21,Private,NA,White,Female,NA
Low,29,Private,10,White,Male,60
Low,18,Private,7,White,Male,40
High,52,Private,6,White,Male,47
Low,57,Self-emp-inc,13,White,Male,80
Low,42,?,9,White,Male,40
Low,55,?,9,Asian-Pac-Islander,Female,40
High,60,Private,4,White,Male,48
High,31,Private,13,White,Male,40
Low,23,NA,13,White,Female,40
Low,27,Private,9,White,Male,40
Low,NA,?,10,Amer-Indian-Eskimo,Female,25
High,42,Self-emp-not-inc,15,White,Male,50
Low,25,Private,10,White,Male,40
Low,49,Private,13,White,Female,45
Low,NA,Private,13,White,Male,40
Low,19,Private,10,NA,Male,28
Low,60,Private,4,White,Female,40
Low,42,Local-gov,5,White,Male,40
Low,35,Self-emp-not-inc,12,White,Male,40
Low,48,Private,9,Black,Female,37
High,51,Private,14,White,Male,40
Low,29,NA,9,Amer-Indian-Eskimo,NA,40
Low,36,Local-gov,9,Black,Male,40
Low,17,Private,6,White,Female,21
Low,52,Private,14,White,Female,60
Low,NA,Private,NA,White,Male,40
Low,24,Private,9,White,Male,50
Low,26,Local-gov,13,White,Male,40
Low,27,Private,13,White,Female,20
Low,39,Private,9,White,Male,60
Low,30,Private,9,Black,Male,45
Low,NA,Self-emp-not-inc,9,White,Male,32
Low,52,Self-emp-inc,13,White,Male,55
High,46,Private,15,White,Male,45
Low,23,Private,13,White,Female,20
Low,45,Private,7,Black,Female,20
Low,65,Private,5,Black,Female,24
Low,29,Private,NA,White,Male,55
Low,47,Private,5,White,Male,40
Low,30,Private,9,Black,Male,60
High,34,Private,9,White,Male,45
Low,38,Self-emp-not-inc,9,White,Male,64
High,33,Private,10,White,Male,40
High,49,NA,13,White,Male,26
Low,47,Self-emp-not-inc,10,Black,Female,40
Low,49,Local-gov,6,Black,Female,40
High,43,Private,10,White,Male,60
High,30,Private,13,Black,Female,40
Low,58,Self-emp-not-inc,9,White,NA,60
Low,19,Private,9,White,Female,NA
Low,NA,Private,13,NA,Male,40
High,33,Private,13,White,Male,60
Low,47,Self-emp-inc,3,White,Male,50
High,52,Self-emp-not-inc,16,White,Male,60
Low,26,Private,9,White,Male,55
Low,60,Private,9,White,Male,40
Low,21,Private,10,White,Male,40
High,36,Private,10,White,Male,50
Low,NA,Private,10,White,Male,45
High,50,Self-emp-inc,NA,White,Male,40
Low,31,Local-gov,9,White,Female,40
Low,71,Private,9,White,Male,15
Low,58,?,9,White,NA,50
High,30,State-gov,13,White,Male,40
Low,20,Private,10,White,Male,20
Low,24,Private,9,White,Male,50
High,35,Private,16,Asian-Pac-Islander,Male,40
Low,38,State-gov,10,White,Female,45
Low,27,Private,9,White,Female,32
Low,29,State-gov,10,Asian-Pac-Islander,Female,40
Low,70,?,5,White,Female,15
Low,34,Private,9,White,Male,45
Low,44,Private,4,White,Male,35
High,43,Private,9,White,Male,40
High,44,Self-emp-not-inc,8,Black,Male,40
Low,35,Private,14,White,Male,60
Low,27,Private,10,White,Male,NA
Low,43,Local-gov,14,White,NA,38
Low,20,Private,10,White,Female,25
High,42,Private,12,White,Female,40
Low,27,State-gov,10,NA,Male,40
High,42,Private,9,Black,Male,40
Low,20,?,7,Asian-Pac-Islander,NA,40
Low,24,Private,5,White,Male,40
Low,48,Federal-gov,10,White,Male,40
Low,17,NA,7,White,Female,20
Low,17,Self-emp-not-inc,7,White,Male,10
High,33,Private,NA,White,Male,40
High,50,Self-emp-inc,9,White,NA,50
Low,22,Private,9,White,Female,40
Low,17,Private,8,White,Male,16
Low,32,NA,10,White,Male,40
Low,31,Private,9,White,Male,45
Low,58,Self-emp-not-inc,9,White,Male,50
Low,29,NA,9,White,Male,48
High,37,Private,11,White,Male,40
High,NA,Self-emp-not-inc,9,White,Male,40
Low,NA,Local-gov,10,Black,Male,40
Low,NA,State-gov,7,White,Female,5
Low,34,Private,9,White,Female,40
Low,66,?,4,White,Male,4
Low,45,Local-gov,13,White,Female,55
Low,41,Private,NA,White,Male,35
Low,26,Private,9,White,Male,30
Low,54,Local-gov,10,NA,Male,40
Low,24,Private,10,Black,Female,45
Low,42,Private,10,White,Male,50
Low,20,Private,10,White,Male,20
Low,23,State-gov,13,White,Female,20
Low,25,?,12,White,Male,45
High,35,Private,NA,White,Male,60
High,31,Private,14,White,Male,40
Low,30,Private,13,White,Female,40
Low,19,Private,9,White,Female,20
Low,36,Local-gov,13,White,Male,50
Low,31,Private,13,White,Female,NA
Low,21,Private,NA,White,Male,30
Low,NA,Self-emp-not-inc,10,White,Male,40
High,46,NA,16,White,Female,65
High,44,Private,13,White,Female,50
Low,NA,NA,8,Black,Male,NA
Low,45,Private,10,Black,Male,40
Low,60,Private,9,White,Male,35
Low,18,Private,7,White,Male,25
Low,28,Private,13,White,Male,40
Low,36,Private,10,Black,Female,40
Low,36,Private,13,White,Male,40
Low,40,Private,11,White,Male,40
Low,36,NA,13,White,Female,35
Low,31,Private,9,Black,Female,NA
Low,33,Private,9,White,Male,40
Low,19,State-gov,9,White,Female,40
Low,22,Private,10,White,Female,15
High,34,Private,13,White,Male,45
Low,NA,Private,9,White,Male,40
Low,NA,Private,9,White,Male,60
Low,29,Private,13,White,Male,40
High,50,Local-gov,9,White,Male,42
High,42,Private,13,White,Male,45
High,43,Private,13,White,Male,40
Low,44,Private,9,White,Female,40
Low,20,Private,10,White,NA,20
Low,31,Private,9,White,Male,40
High,65,Self-emp-not-inc,7,White,NA,59
Low,23,Private,10,White,Female,24
Low,55,Private,10,Asian-Pac-Islander,Female,40
Low,26,Private,11,White,Male,45
Low,25,Private,11,White,Female,15
Low,45,?,10,Black,Female,40
Low,35,Private,10,White,Male,40
Low,36,Private,10,Black,Female,NA
Low,43,State-gov,13,White,Male,50
Low,56,Private,9,Black,Female,20
High,42,Private,13,White,Male,40
Low,19,Private,10,White,Female,25
Low,55,Self-emp-not-inc,9,White,Male,72
High,42,Private,14,White,Female,50
Low,26,Private,11,White,Male,40
Low,17,NA,8,White,Male,20
High,42,NA,13,White,Female,40
High,55,Private,9,White,Male,40
Low,32,Private,10,Black,Female,40
