Company_Number,Company_Creation_Date,total_products,total_transactions,total_revenue,total_usage,total_accounts,churned
23281,03APR1999:04:21:00,1,3,109.21,166,1,0
23293,03APR1999:04:21:00,1,82,17565.72,28906,1,0
23316,03APR1999:04:21:00,1,2,0.2,2,1,0
23483,03APR1999:04:21:00,1,21,18.47,1284,1,0
23528,03APR1999:04:21:00,2,67,11975.06,135794,1,1
23739,03APR1999:04:21:00,2,139,78252.5,452102,3,0
23837,03APR1999:04:21:00,1,11,878.59,1156,1,0
24305,03APR1999:04:21:00,3,203,51498.52,1178578,1,0
24656,03APR1999:04:21:00,1,3,157.74,370,1,0
25068,03APR1999:04:21:00,1,2,165.17,3446,1,0
25145,03APR1999:04:21:00,1,34,1543.14,21905,2,0
25146,03APR1999:04:21:00,1,47,4682.67,43755,2,0
25518,03APR1999:04:21:00,2,48,46393.89,1950,1,0
25800,03APR1999:04:21:00,7,543,680797.91,18106361,15,0
26114,03APR1999:04:21:00,1,35,985.26,8964,3,1
26262,03APR1999:04:21:00,3,145,97802.67,3561231,1,0
26294,03APR1999:04:21:00,4,439,382632.01,7395639,2,0
26618,03APR1999:04:21:00,1,14,55.24,3407,3,0
26984,03APR1999:04:21:00,1,7,-8.76,0,1,1
27207,03APR1999:04:21:00,5,639,1245778.39,12980887,4,0
27224,03APR1999:04:21:00,9,1124,14917779.62,861482918,22,0
27262,03APR1999:04:21:00,2,56,5000.48,35139,7,0
27345,03APR1999:04:21:00,1,12,26.28,0,1,0
27499,03APR1999:04:21:00,1,33,174.93,6235,1,0
27622,03APR1999:04:21:00,4,264,835136.92,39414477,2,0
27697,03APR1999:04:21:00,1,38,5540.5,109258,1,0
27719,03APR1999:04:21:00,2,76,34459.8,299735,1,0
27818,03APR1999:04:21:00,3,135,44624.4,1183046,2,0
27839,03APR1999:04:21:00,2,111,22282.7,70191,4,0
28189,03APR1999:04:21:00,2,123,9399.51,427780,7,0
28363,03APR1999:04:21:00,1,1,2.49,0,1,0
28556,03APR1999:04:21:00,1,64,4753.96,29650,1,0
29179,03APR1999:04:21:00,2,8,7792.25,242,1,0
30520,03APR1999:04:21:00,5,454,661777.24,23166955,2,0
32648,03APR1999:04:21:00,1,18,14539.77,11202,1,0
35038,03APR1999:04:21:00,1,40,733.95,28381,1,0
35776,03APR1999:04:21:00,1,19,883.83,4800,1,0
36605,03APR1999:04:21:00,6,422,271211.55,1645248,3,0
36659,03APR1999:04:21:00,1,57,5525.33,28186,1,0
36660,03APR1999:04:21:00,1,38,10196.05,644657,23,0
36749,03APR1999:04:21:00,2,22,424.71,17625,1,0
36755,03APR1999:04:21:00,2,15,92.52,2051,2,0
37234,03APR1999:04:21:00,1,59,9501.58,71941,2,1
37347,03APR1999:04:21:00,7,930,9901591.39,465520564,9,0
37631,03APR1999:04:21:00,2,10,-2084.12,14314,1,1
37839,03APR1999:04:21:00,6,632,3745681.36,109128108,2,0
37889,03APR1999:04:21:00,5,90,2110642.87,6360,3,0
37905,03APR1999:04:21:00,2,25,3947.86,267,1,0
38056,03APR1999:04:21:00,4,289,132641.44,2429909,1,1
38133,03APR1999:04:21:00,1,17,1165.48,65710,1,0
38151,03APR1999:04:21:00,1,25,123.06,3266,1,1
38276,03APR1999:04:21:00,3,364,259203.53,697600,3,0
38738,03APR1999:04:21:00,3,107,195328.13,1713582,1,0
38820,06APR1999:08:46:39,3,243,180025.94,1471879,2,0
38864,07APR1999:13:38:42,4,223,60259.05,165105,2,0
39121,15APR1999:20:03:47,1,83,2839.19,12235,1,0
39638,28APR1999:15:49:11,1,42,2732.8,3376,1,0
39938,06MAY1999:18:21:16,3,120,19519.23,697551,1,0
39993,10MAY1999:10:47:22,2,128,160463.37,237726,1,0
40206,13MAY1999:15:36:47,1,24,17018.9,313983,1,0
40456,20MAY1999:14:09:53,2,442,545590.61,2798266,1,0
40614,26MAY1999:15:29:46,2,6,0.06,42,2,0
40765,01JUN1999:09:55:59,2,27,4541.41,303090,5,0
41212,10JUN1999:12:58:13,1,6,0,747,1,0
41452,16JUN1999:12:55:54,1,15,377.82,1693,1,0
42105,07JUL1999:11:40:04,1,16,0,0,1,0
42156,08JUL1999:11:33:15,1,4,41.22,2,1,0
42732,29JUL1999:11:23:24,2,20,74.21,4653,1,0
42745,29JUL1999:16:47:48,1,64,3559.18,8422,1,0
42803,02AUG1999:16:07:04,1,90,28100.02,170671,1,0
42825,03AUG1999:15:31:39,4,345,141930.95,918858,1,0
42833,04AUG1999:09:15:31,4,216,144785.43,4979763,1,0
42863,04AUG1999:14:46:08,1,17,349.75,1207,1,0
42873,05AUG1999:12:54:19,6,353,639170.69,5730318,4,0
42943,09AUG1999:11:25:08,3,87,480673.65,517227,2,0
42997,10AUG1999:20:20:50,1,13,140.16,0,1,0
43226,19AUG1999:09:04:51,6,693,669687.59,13302958,2,0
43286,23AUG1999:09:58:09,2,133,33769.15,142247,1,0
43803,13SEP1999:15:32:18,3,120,109256.05,1916271,2,0
43881,15SEP1999:21:02:59,5,257,378992.88,3364204,1,0
43975,20SEP1999:09:44:58,1,3,11.57,551,1,0
44056,21SEP1999:14:40:45,3,85,106483.25,126891,1,0
44145,24SEP1999:13:42:39,2,83,24424.26,96390,1,0
44320,29SEP1999:18:24:06,4,167,6758.73,63878,1,0
44366,30SEP1999:15:11:40,1,4,34.13,1552,1,0
44390,04OCT1999:09:02:49,2,26,5931,21068,1,0
44419,04OCT1999:15:51:49,4,356,581465.78,6951435,1,0
44490,06OCT1999:14:54:34,1,21,542.9,1348,1,0
44966,25OCT1999:09:00:10,4,407,164044.36,873878,1,0
44980,25OCT1999:10:18:47,2,59,4913.53,10623,1,0
45826,12NOV1999:15:24:42,5,204,55341.46,1352050,1,0
45851,15NOV1999:13:54:32,4,188,115508.03,132211,3,0
46199,23NOV1999:11:23:06,3,70,25071.2,273694,1,0
46269,24NOV1999:14:38:24,3,128,61557.48,2959360,5,0
46280,24NOV1999:16:29:35,2,70,18861.54,132292,1,0
46362,30NOV1999:17:32:02,7,582,2048396.23,54982862,4,0
46878,14DEC1999:13:45:07,1,17,1000.45,0,1,0
47087,21DEC1999:10:31:58,4,224,344126.33,4668333,2,0
47097,21DEC1999:14:06:53,2,214,244345.29,20247080,1,0
47242,23DEC1999:09:35:24,4,271,75799.47,3179848,1,0
47308,28DEC1999:08:24:41,1,8,9782.82,0,1,0
47321,28DEC1999:11:04:12,1,17,18190,0,1,0
47779,10JAN2000:09:27:11,5,285,184004.47,2767572,2,0
47801,10JAN2000:11:47:13,1,15,32.85,0,1,0
47816,10JAN2000:14:03:14,1,2,163.62,110,1,1
47981,12JAN2000:16:55:11,4,144,80984.8,1059034,3,0
48482,19JAN2000:15:51:36,2,75,4140.49,134884,2,0
48558,20JAN2000:15:17:42,6,394,452132.81,5506870,2,0
48582,21JAN2000:09:25:10,1,76,2312.08,53604,1,0
48713,24JAN2000:11:36:00,3,107,16712.59,83417,6,0
48810,25JAN2000:14:40:11,1,3,16.18,44,1,0
48817,25JAN2000:16:07:00,1,5,23.45,1554,1,0
49121,31JAN2000:12:45:48,4,347,446109.36,18484823,151,0
49181,01FEB2000:06:55:10,3,103,192208.9,79019,2,0
49235,01FEB2000:15:20:17,3,108,3316.29,127349,3,0
49343,03FEB2000:15:12:17,1,2,3.46,381,1,0
49461,04FEB2000:15:08:34,5,275,88360.57,2448203,1,0
49735,08FEB2000:12:39:03,3,214,738298.67,10032665,1,0
50016,14FEB2000:07:07:38,1,67,10653.07,16961,1,0
50105,15FEB2000:11:44:03,1,1,0,0,1,1
50263,17FEB2000:10:43:09,5,234,131120.8,3023135,1,0
50617,23FEB2000:11:27:14,3,123,188057.72,561022,1,0
50822,28FEB2000:09:04:56,2,52,12433.35,35353,1,0
50912,28FEB2000:22:44:30,4,516,495976.03,1127114,1,0
51197,03MAR2000:16:57:18,3,41,3383.77,262289,1,0
51298,07MAR2000:10:49:06,4,333,65518.04,292642,1,0
51487,10MAR2000:11:59:43,1,20,380.69,29560,1,0
51659,15MAR2000:11:18:26,6,225,96482.89,2494039,1,0
51753,17MAR2000:09:48:13,1,2,4.38,0,1,0
51847,20MAR2000:09:56:03,3,151,236311.05,5628325,2,0
51968,21MAR2000:14:02:14,1,51,895.51,7251,2,0
52143,24MAR2000:10:05:36,5,557,1539061.51,5786102,29,0
52417,29MAR2000:16:21:20,6,312,222636.98,8322496,20,0
52646,04APR2000:22:27:33,2,52,5292.01,52281,1,0
52817,07APR2000:13:50:06,2,85,5803.43,39930,1,0
52849,10APR2000:11:24:40,2,164,67022.23,456661,1,0
52889,10APR2000:16:27:20,5,285,119154.69,776889,1,0
52927,11APR2000:10:03:18,4,346,156470.28,2227160,5,0
53006,11APR2000:16:50:36,3,98,98027.52,21334,1,0
53321,18APR2000:09:30:46,4,356,416887.67,1445067,273,0
53915,02MAY2000:09:06:24,1,12,2286.16,1880,1,0
54207,09MAY2000:09:31:08,1,13,150,0,1,1
54354,11MAY2000:15:54:43,3,47,19590.36,112037,1,1
54427,15MAY2000:12:54:42,1,44,4132.72,25712,1,0
54594,17MAY2000:15:57:32,1,2,4.21,4,1,0
54667,19MAY2000:13:35:36,1,2,4.38,0,1,0
55023,30MAY2000:08:43:54,1,10,385.09,414,1,0
55278,05JUN2000:15:32:43,4,201,207371.58,13514157,15,0
55426,08JUN2000:12:14:03,3,134,185327.23,171768,1,0
55519,12JUN2000:11:53:17,1,66,14322.78,50207,1,0
55999,21JUN2000:13:30:10,2,58,14909.96,6095,1,1
56057,22JUN2000:15:29:34,1,19,273.98,3626,1,0
56069,22JUN2000:16:40:04,3,80,9817.55,61348,1,0
56207,26JUN2000:22:53:59,2,103,80083.73,1441379,1,0
56290,28JUN2000:13:23:25,1,31,1576.96,57280,1,0
56478,05JUL2000:09:22:56,1,68,14729.27,12663,1,0
56503,05JUL2000:16:14:52,1,41,10276.68,30657,1,0
56556,06JUL2000:15:18:26,2,70,8481.86,19314,1,0
56949,14JUL2000:13:40:58,4,333,20015124.57,1206366,1,0
57019,17JUL2000:13:56:17,1,15,1056,773,1,0
57269,21JUL2000:15:08:41,1,1,2.66,0,1,1
57322,24JUL2000:13:01:45,1,3,-55.87,0,1,0
57650,31JUL2000:18:31:05,3,16,6840,532,1,0
57746,02AUG2000:11:57:48,1,16,0,0,1,0
57934,07AUG2000:14:04:03,2,99,8828.81,188176,1,0
58044,09AUG2000:17:10:04,2,5,48.14,32,1,0
58194,14AUG2000:15:33:15,1,16,1249.81,39028,1,0
58392,17AUG2000:14:22:04,5,349,3344615.35,51910912,3,1
58511,21AUG2000:14:59:24,2,75,67671.6,2349,1,0
58633,23AUG2000:17:42:05,1,19,0,9012,1,1
58756,28AUG2000:20:46:25,1,1,160.5,0,1,0
59124,08SEP2000:11:58:52,1,2,-120.47,0,1,0
59208,11SEP2000:13:56:33,3,227,144982.34,5648809,11,0
59370,13SEP2000:14:48:02,1,22,5061.25,6959,1,0
59441,15SEP2000:00:02:53,1,21,1945.01,27108,7,0
59723,22SEP2000:12:32:07,2,135,569753,12659495,1,0
60069,29SEP2000:15:08:57,1,16,0,0,1,0
60139,02OCT2000:11:35:00,4,345,276160.18,5489711,1,0
60224,03OCT2000:11:54:23,1,27,391.34,5874,1,0
60229,03OCT2000:14:34:09,1,3,16.04,2,1,0
60388,06OCT2000:20:03:22,2,71,29858.07,25307,1,0
60512,10OCT2000:15:38:10,1,57,5146.48,163808,4,0
60560,11OCT2000:07:32:53,2,98,3422.78,47006,1,0
60572,11OCT2000:11:40:31,5,333,101015,397444,1,0
60583,11OCT2000:14:40:38,1,61,77881.53,948185,1,0
60799,16OCT2000:22:12:54,1,72,5829.51,17234,1,0
61025,23OCT2000:09:44:05,1,3,16.51,2,1,1
61098,24OCT2000:12:35:48,3,69,65923.85,1178996,3,1
61159,25OCT2000:11:43:01,1,61,7358.5,14882,1,0
61220,26OCT2000:12:59:45,3,220,36512.44,421793,2,0
61234,26OCT2000:17:23:59,2,95,4122.86,156826,3,0
61314,30OCT2000:10:09:56,1,57,5012.51,48925,1,0
61508,02NOV2000:14:41:19,5,392,150517.6,975122,2,0
61574,06NOV2000:09:01:19,1,60,1543.56,33614,5,0
61637,07NOV2000:10:04:03,2,138,57558.94,711441,1,0
61761,09NOV2000:19:02:57,2,39,554.84,2348,2,0
61873,13NOV2000:17:07:15,1,11,101.41,306,1,0
61985,15NOV2000:17:39:22,1,20,560.47,4500,1,0
62116,20NOV2000:16:28:57,4,372,190120.9,1733918,1,0
62286,28NOV2000:12:14:42,5,423,625112.23,1616802,2,0
62546,05DEC2000:17:34:13,2,18,1132.52,2910,1,0
63343,21DEC2000:09:50:02,1,3,20.63,2,1,0
63431,27DEC2000:07:49:59,2,117,3583.01,52907,1,0
63525,28DEC2000:11:12:13,2,335,485046.29,439475,2,0
63618,02JAN2001:17:21:26,4,399,288249.02,4528786,1,0
63676,03JAN2001:16:13:27,1,99,26261.88,75026,1,0
63795,05JAN2001:13:54:22,4,212,85423.22,502917,1,0
63841,08JAN2001:11:16:30,1,67,10475.63,215076,1,0
63970,09JAN2001:17:23:14,1,6,19401.38,0,1,0
64008,10JAN2001:15:11:24,2,63,79529.47,81461,3,0
64118,15JAN2001:15:37:18,1,81,18038.42,177806,1,0
64201,16JAN2001:14:54:02,4,175,41240.81,109911,2,0
64248,17JAN2001:12:39:20,7,207,168153.32,1681853,4,0
64293,18JAN2001:09:35:01,4,176,78020.86,1774323,1,0
65114,01FEB2001:11:19:34,2,43,22383.92,183510,2,0
65311,06FEB2001:16:42:05,1,20,1497.29,2729,1,0
65847,20FEB2001:12:47:30,1,1,0.44,4,1,0
65881,21FEB2001:11:11:04,6,860,3461071.74,99543259,2,0
65890,21FEB2001:14:03:45,1,17,3659.9,6152,1,1
65908,21FEB2001:15:33:38,1,84,12785.12,34700,1,0
65976,23FEB2001:01:40:59,4,221,159502.97,5633053,1,0
66163,28FEB2001:14:24:05,4,221,79190.55,591933,4,0
66220,01MAR2001:11:18:23,1,6,1029.7,155,1,1
66258,02MAR2001:12:01:29,4,273,159822.34,997685,1,0
66463,07MAR2001:19:40:43,1,39,695.93,2335,1,1
66552,09MAR2001:19:08:51,2,6,64.2,52,1,0
66580,09MAR2001:11:05:02,5,133,106088.94,409810,2,0
67302,26MAR2001:09:56:33,3,162,100557.33,1771527,3,0
67519,29MAR2001:13:58:59,3,151,1209338.26,1198214,2,0
67561,30MAR2001:10:22:21,2,2,5601.65,15,2,0
67606,02APR2001:10:38:44,6,385,410260.35,12842420,2,0
67769,04APR2001:15:40:58,1,27,321.66,1628,1,0
67844,05APR2001:19:31:48,2,50,1275.97,25532,2,0
67877,06APR2001:12:33:52,2,44,7730.93,14079,1,0
68152,12APR2001:08:20:38,2,57,15231.47,31866,1,0
68302,17APR2001:13:37:24,5,317,1569262.67,1835757,3,0
68317,17APR2001:16:17:00,2,57,4280.72,51316,1,0
68335,18APR2001:10:21:50,1,2,12.07,598,1,0
68357,18APR2001:14:49:06,3,559,313513.41,4730201,3,0
68401,19APR2001:11:45:59,1,13,56.94,0,1,0
68420,20APR2001:00:04:45,1,49,524.94,6928,1,0
68577,24APR2001:15:37:34,9,590,1874445.5,59860870,10,0
68599,25APR2001:09:04:22,2,42,3591.71,14993,1,1
68846,01MAY2001:18:49:36,8,329,626639.65,22557740,3,1
68951,03MAY2001:16:46:09,3,105,107324.8,5275294,1,1
69231,10MAY2001:14:48:53,3,109,48268.29,470117,1,0
69269,11MAY2001:11:40:53,2,41,9773.36,93319,1,0
69281,11MAY2001:15:00:05,1,54,4947.33,11891,2,0
69374,15MAY2001:17:59:10,3,288,193846.41,8180136,1,0
69690,24MAY2001:12:40:07,1,12,12711.6,0,1,0
69820,29MAY2001:04:43:33,1,51,8183.32,99687,1,0
69863,30MAY2001:13:11:01,5,321,253045.58,9962172,542,0
69968,01JUN2001:14:35:50,1,17,36.21,0,1,0
70034,04JUN2001:15:43:27,3,159,75494.27,186254,1,0
70062,05JUN2001:11:51:53,2,80,41615.36,65380,1,0
70105,06JUN2001:11:16:02,1,45,3306.45,59313,1,1
70132,06JUN2001:15:59:41,1,4,90.22,553,1,0
70169,07JUN2001:14:42:38,1,83,2893.81,14119,1,0
70172,07JUN2001:13:19:18,6,711,2392363.19,55540781,6,0
70304,12JUN2001:11:59:18,2,52,7562.31,80349,4,0
70418,14JUN2001:14:53:35,1,13,281.72,5801,1,0
70460,15JUN2001:13:29:10,2,110,15574.32,172306,2,0
70511,18JUN2001:15:21:52,1,47,6383.89,26297,1,0
70583,19JUN2001:17:38:39,1,43,1006.27,5192,1,1
70640,20JUN2001:16:16:24,3,133,128858.84,742019,1,0
70811,25JUN2001:16:23:45,2,171,54413.52,1780794,19,0
70929,27JUN2001:13:51:04,1,77,54197.78,63636,1,0
71028,29JUN2001:14:23:17,4,205,340563.09,4144486,1,0
71063,02JUL2001:11:58:52,2,40,589.88,20998,1,0
71065,02JUL2001:12:32:20,3,161,156929.69,915773,1,0
71090,02JUL2001:18:52:34,1,3,6.57,0,1,1
71118,03JUL2001:15:12:20,4,245,123274.43,376902,5,0
71488,13JUL2001:16:40:49,3,127,107307.46,2681435,1,0
71527,16JUL2001:13:37:08,3,130,17630.12,610556,1,0
71579,17JUL2001:09:15:35,1,39,717.24,23044,1,1
71759,19JUL2001:15:30:19,6,603,1285889.07,13757793,2,0
71846,23JUL2001:10:57:42,1,17,1402.5,0,1,0
71986,25JUL2001:19:51:52,3,89,8747.94,117707,1,0
72409,09AUG2001:10:45:07,7,672,2064735.76,4172357,5,0
72539,13AUG2001:16:24:53,1,38,2454.57,7027,1,0
72651,16AUG2001:14:49:35,2,63,6997.8,12357,1,0
72665,16AUG2001:17:51:59,2,65,774713.29,0,1,0
72682,17AUG2001:11:48:04,4,182,345953.11,4992004,2,0
72738,20AUG2001:14:46:03,2,43,2276.99,13886,1,0
72740,20AUG2001:15:03:41,1,17,896.34,15196,1,0
72756,20AUG2001:16:20:37,2,81,45973.64,37555,1,0
72915,24AUG2001:11:50:16,1,28,2397.23,6605,1,0
72951,27AUG2001:11:39:17,1,36,4642.14,42096,8,0
73021,28AUG2001:17:32:20,5,363,279879.28,7806434,1,0
73043,29AUG2001:12:27:46,4,106,49080.05,1993550,1,1
73080,30AUG2001:10:02:42,3,213,576632.51,142029,1,0
73156,01SEP2001:04:13:24,2,68,8206.57,90448,15,0
73216,05SEP2001:17:09:21,1,17,33.83,0,1,0
73271,07SEP2001:11:02:09,2,6,27.26,208,1,0
73301,10SEP2001:12:07:54,1,42,10478.57,15271,1,0
73363,12SEP2001:11:28:02,2,46,18845.84,79072,1,1
73365,12SEP2001:12:48:16,1,39,1314.95,28276,5,0
73439,14SEP2001:08:34:05,2,166,98700.2,905570,1,0
73470,14SEP2001:15:51:29,2,56,4852.99,83477,1,0
73607,19SEP2001:18:36:29,1,6,123.36,340,1,0
73609,19SEP2001:18:50:45,1,4,5.22,4,1,0
73615,20SEP2001:10:01:42,1,85,10248.1,51737,1,0
73630,20SEP2001:15:05:16,1,39,2386.11,8966,1,0
73637,20SEP2001:16:21:31,1,7,155.44,153,1,0
73705,24SEP2001:10:39:00,1,88,16371.86,8979,1,0
73797,26SEP2001:11:47:44,5,519,431499.09,1217862,3,0
73799,26SEP2001:11:51:36,1,5,74.4,216,1,0
73811,26SEP2001:13:48:44,1,31,972.48,4669,1,0
73819,26SEP2001:15:18:27,1,5,982.68,1582,1,0
73979,01OCT2001:19:28:30,1,4,-650,0,4,1
74026,03OCT2001:09:36:23,2,4,21.72,10,1,0
74281,10OCT2001:16:53:12,5,341,341899.35,4558161,1,0
74322,11OCT2001:16:55:40,3,221,54398.32,474434,6,0
74327,11OCT2001:20:06:44,4,256,193376.7,3140339,1,0
74341,12OCT2001:11:44:50,4,158,196252.38,2536404,2,0
74518,18OCT2001:13:44:37,4,211,143095.25,3565318,1,0
74565,19OCT2001:09:22:57,1,50,2909.13,47902,1,0
74634,22OCT2001:18:36:39,3,61,4254.73,35115,5,0
74794,29OCT2001:08:46:47,1,2,0.15,12,1,0
74815,29OCT2001:13:24:55,2,25,10433.97,4204,1,0
74861,30OCT2001:16:11:03,2,23,657.33,35105,1,0
75020,06NOV2001:13:54:13,4,36,2403.04,87060,8,0
75148,09NOV2001:14:03:16,2,126,34912.49,69222,1,0
75156,09NOV2001:16:12:07,1,29,1491.83,76948,2,0
75173,12NOV2001:10:54:00,5,558,726239.35,1548686,1,0
75303,14NOV2001:17:35:39,2,172,61526.3,1196397,13,0
75306,14NOV2001:18:27:28,5,163,1230171.81,11486007,2,0
75330,15NOV2001:16:00:49,4,16,40.97,925,1,0
75413,20NOV2001:16:21:52,1,19,28.46,5,2,1
75556,29NOV2001:14:30:30,1,45,17439.51,496856,1,0
75558,29NOV2001:15:57:14,2,41,3971.33,14050,1,0
75581,29NOV2001:18:26:28,2,63,3275.65,8414,1,0
75603,30NOV2001:17:15:27,1,38,7435.85,500496,1,0
75642,03DEC2001:15:53:44,4,152,135931.03,2410242,1,0
75651,03DEC2001:17:41:42,2,28,648.28,20481,2,0
75672,04DEC2001:13:32:33,3,85,12732.26,286102,1,0
75839,11DEC2001:16:54:03,1,101,36553.02,23978,1,0
