Age,MaritalStatus,Occupation,Race,Sex,WeeklyHours,Income
28, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, <=50K
45, Married-civ-spouse, Sales, White, Male,40, >50K
36, Divorced, Other-service, White, Female,40, <=50K
39, Never-married, Exec-managerial, White, Male,42, <=50K
46, Widowed, Protective-serv, White, Male,40, <=50K
18, Never-married, Handlers-cleaners, White, Male,16, <=50K
66, Widowed, Prof-specialty, White, Female,20, <=50K
27, Never-married, Other-service, White, Male,40, <=50K
28, Married-civ-spouse, Protective-serv, White, Male,40, <=50K
51, Married-civ-spouse, Sales, White, Male,40, >50K
27, Never-married, Craft-repair, White, Male,50, <=50K
28, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
27, Married-spouse-absent, Sales, White, Female,25, <=50K
21, Never-married, Craft-repair, Black, Male,40, <=50K
34, Never-married, Handlers-cleaners, Black, Male,40, <=50K
18, Never-married, Other-service, White, Male,12, <=50K
33, Married-civ-spouse, Prof-specialty, White, Male,65, <=50K
44, Married-civ-spouse, Exec-managerial, Black, Male,38, >50K
43, Divorced, Adm-clerical, White, Female,40, <=50K
30, Never-married, Craft-repair, Black, Male,45, <=50K
40, Married-civ-spouse, Machine-op-inspct, White, Male,40, >50K
37, Married-civ-spouse, Adm-clerical, White, Male,42, >50K
34, Married-civ-spouse, Adm-clerical, Black, Male,40, <=50K
41, Divorced, Exec-managerial, White, Female,40, <=50K
53, Divorced, ?, White, Female,50, <=50K
31, Married-civ-spouse, Prof-specialty, White, Female,50, <=50K
58, Married-civ-spouse, Prof-specialty, White, Male,1, >50K
38, Divorced, Machine-op-inspct, Black, Female,28, <=50K
24, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
41, Married-civ-spouse, Craft-repair, Black, Male,40, <=50K
47, Married-civ-spouse, Tech-support, White, Male,45, <=50K
41, Married-civ-spouse, Tech-support, White, Male,24, <=50K
23, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
36, Divorced, Craft-repair, White, Male,40, <=50K
40, Never-married, Exec-managerial, White, Female,55, >50K
35, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
24, Never-married, Sales, White, Male,40, <=50K
26, Never-married, Prof-specialty, White, Female,40, <=50K
19, Never-married, ?, White, Male,40, <=50K
51, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
42, Never-married, Prof-specialty, White, Female,40, <=50K
37, Divorced, Adm-clerical, White, Female,35, <=50K
18, Never-married, Sales, White, Female,40, <=50K
36, Married-civ-spouse, Other-service, Black, Male,36, >50K
35, Divorced, Craft-repair, White, Male,60, <=50K
58, Married-civ-spouse, Sales, White, Female,35, >50K
17, Never-married, Sales, White, Female,12, <=50K
44, Married-civ-spouse, Transport-moving, Black, Male,40, <=50K
37, Married-civ-spouse, Craft-repair, White, Male,40, >50K
35, Never-married, Sales, Amer-Indian-Eskimo, Female,40, <=50K
60, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, <=50K
54, Married-civ-spouse, Machine-op-inspct, White, Male,40, >50K
37, Never-married, Exec-managerial, Black, Male,60, >50K
50, Divorced, Sales, White, Female,40, <=50K
38, Married-civ-spouse, Sales, White, Male,50, <=50K
45, Married-civ-spouse, Prof-specialty, White, Male,55, <=50K
25, Never-married, Craft-repair, White, Male,40, <=50K
31, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
64, Divorced, ?, White, Male,40, <=50K
90, Never-married, Other-service, Black, Male,40, <=50K
54, Married-civ-spouse, Adm-clerical, Black, Male,20, <=50K
53, Never-married, Machine-op-inspct, White, Female,35, <=50K
18, Never-married, Sales, White, Female,40, <=50K
60, Divorced, ?, Amer-Indian-Eskimo, Female,10, <=50K
66, Married-civ-spouse, Farming-fishing, White, Male,50, <=50K
75, Widowed, Adm-clerical, White, Female,20, <=50K
65, Divorced, Adm-clerical, White, Female,40, <=50K
35, Separated, Transport-moving, Black, Male,40, <=50K
41, Divorced, Sales, Black, Female,38, <=50K
25, Never-married, Adm-clerical, White, Male,42, <=50K
33, Divorced, Craft-repair, Other, Female,40, <=50K
28, Never-married, Prof-specialty, White, Male,55, >50K
59, Married-civ-spouse, Other-service, White, Male,40, <=50K
40, Never-married, Adm-clerical, White, Female,38, <=50K
41, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
38, Married-civ-spouse, Exec-managerial, White, Male,70, >50K
23, Never-married, Transport-moving, White, Male,40, <=50K
40, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
41, Married-civ-spouse, Other-service, White, Female,20, <=50K
24, Married-civ-spouse, Protective-serv, White, Male,50, <=50K
20, Never-married, ?, White, Male,20, <=50K
38, Divorced, Craft-repair, White, Male,40, <=50K
56, Married-civ-spouse, Adm-clerical, White, Male,35, <=50K
58, Married-civ-spouse, Adm-clerical, White, Male,45, >50K
32, Never-married, Other-service, White, Female,34, <=50K
40, Married-civ-spouse, Tech-support, White, Male,60, >50K
45, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
41, Married-civ-spouse, Prof-specialty, White, Female,40, >50K
42, Married-civ-spouse, Adm-clerical, Black, Female,40, <=50K
59, Widowed, Other-service, Black, Female,30, <=50K
19, Never-married, Adm-clerical, White, Male,40, <=50K
58, Never-married, Transport-moving, White, Male,20, <=50K
42, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male,40, >50K
20, Never-married, Other-service, White, Female,40, <=50K
32, Separated, Other-service, White, Female,30, <=50K
45, Widowed, Exec-managerial, White, Female,45, <=50K
50, Divorced, Craft-repair, White, Male,40, <=50K
36, Divorced, Prof-specialty, White, Female,40, <=50K
45, Married-civ-spouse, Sales, White, Male,60, <=50K
17, Never-married, Other-service, White, Male,12, <=50K
59, Married-civ-spouse, Sales, White, Male,40, <=50K
26, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
37, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,75, >50K
19, Never-married, ?, White, Male,24, <=50K
64, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
33, Never-married, Prof-specialty, White, Female,45, <=50K
33, Married-civ-spouse, Craft-repair, White, Female,40, >50K
61, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
17, Never-married, Other-service, White, Male,24, <=50K
50, Married-civ-spouse, Farming-fishing, White, Male,98, <=50K
27, Never-married, Prof-specialty, White, Male,35, <=50K
30, Divorced, Prof-specialty, White, Female,40, <=50K
43, Married-civ-spouse, Handlers-cleaners, Black, Male,40, <=50K
44, Married-civ-spouse, Craft-repair, White, Male,40, >50K
35, Never-married, Exec-managerial, White, Female,40, <=50K
25, Never-married, Tech-support, White, Female,40, <=50K
24, Married-civ-spouse, Machine-op-inspct, White, Female,48, >50K
22, Never-married, Prof-specialty, White, Female,15, <=50K
42, Married-civ-spouse, Craft-repair, White, Male,40, >50K
34, Divorced, Sales, Black, Female,45, <=50K
60, Divorced, Prof-specialty, White, Female,42, <=50K
21, Never-married, Handlers-cleaners, White, Male,40, <=50K
57, Married-civ-spouse, Sales, White, Male,40, >50K
41, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
50, Divorced, Other-service, White, Male,45, <=50K
25, Never-married, Exec-managerial, White, Female,40, <=50K
50, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
36, Married-civ-spouse, Prof-specialty, White, Male,45, <=50K
31, Divorced, Prof-specialty, White, Female,40, <=50K
29, Never-married, Protective-serv, White, Male,56, <=50K
21, Never-married, Sales, White, Male,45, <=50K
27, Never-married, Tech-support, Black, Female,40, <=50K
65, Married-civ-spouse, Transport-moving, White, Male,16, <=50K
37, Divorced, Sales, White, Female,60, <=50K
39, Married-civ-spouse, ?, Asian-Pac-Islander, Female,40, <=50K
24, Never-married, Craft-repair, White, Male,40, <=50K
38, Divorced, Sales, White, Male,80, <=50K
48, Married-civ-spouse, Adm-clerical, White, Male,40, >50K
21, Never-married, Other-service, Asian-Pac-Islander, Female,25, <=50K
31, Married-civ-spouse, Transport-moving, White, Male,45, >50K
55, Married-civ-spouse, Sales, White, Male,40, >50K
24, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female,40, <=50K
43, Divorced, Adm-clerical, White, Female,40, <=50K
26, Never-married, Tech-support, White, Male,45, <=50K
46, Never-married, Prof-specialty, White, Female,33, <=50K
35, Married-civ-spouse, Adm-clerical, White, Male,40, >50K
41, Married-civ-spouse, Farming-fishing, White, Male,54, >50K
26, Never-married, Sales, White, Male,40, <=50K
34, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,35, >50K
19, Never-married, ?, Black, Female,25, <=50K
36, Divorced, Prof-specialty, Black, Female,40, >50K
22, Never-married, Sales, White, Male,15, <=50K
24, Never-married, Machine-op-inspct, White, Male,40, <=50K
77, Married-civ-spouse, Sales, White, Male,40, <=50K
22, Married-civ-spouse, Machine-op-inspct, White, Female,40, <=50K
29, Never-married, Tech-support, White, Female,40, <=50K
62, Widowed, Other-service, White, Female,24, <=50K
39, Married-civ-spouse, Exec-managerial, White, Male,40, <=50K
43, Married-civ-spouse, Craft-repair, White, Male,50, <=50K
35, Divorced, Transport-moving, White, Male,45, <=50K
29, Never-married, Exec-managerial, White, Female,40, <=50K
76, Married-civ-spouse, Craft-repair, White, Male,10, <=50K
63, Married-civ-spouse, Farming-fishing, White, Male,45, <=50K
23, Never-married, ?, Black, Female,15, <=50K
43, Married-civ-spouse, Prof-specialty, White, Female,50, >50K
58, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
66, Never-married, Transport-moving, White, Male,55, <=50K
41, Never-married, Craft-repair, Black, Male,45, <=50K
26, Never-married, Adm-clerical, White, Male,40, <=50K
47, Never-married, Other-service, White, Male,40, <=50K
55, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
53, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
17, Never-married, Other-service, White, Male,48, <=50K
30, Never-married, Craft-repair, White, Male,40, <=50K
49, Never-married, Prof-specialty, White, Male,60, <=50K
19, Never-married, Sales, Black, Male,30, <=50K
45, Married-civ-spouse, Other-service, Black, Male,40, <=50K
26, Never-married, Sales, White, Male,40, <=50K
38, Married-civ-spouse, Craft-repair, White, Male,40, >50K
36, Married-civ-spouse, Protective-serv, White, Male,40, >50K
33, Never-married, Farming-fishing, White, Male,20, <=50K
22, Never-married, Protective-serv, Black, Female,40, <=50K
43, Never-married, Sales, White, Male,42, <=50K
67, Married-civ-spouse, ?, White, Male,8, <=50K
30, Divorced, ?, White, Female,40, <=50K
56, Married-spouse-absent, Other-service, White, Male,25, <=50K
31, Never-married, Prof-specialty, White, Male,25, <=50K
33, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
26, Married-civ-spouse, Other-service, White, Male,40, <=50K
33, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
46, Married-civ-spouse, Transport-moving, White, Male,30, <=50K
59, Married-civ-spouse, ?, White, Male,40, >50K
38, Married-civ-spouse, Adm-clerical, White, Male,40, >50K
65, Widowed, Other-service, Other, Male,40, <=50K
40, Married-civ-spouse, Tech-support, White, Male,40, >50K
42, Married-civ-spouse, Adm-clerical, White, Female,35, <=50K
26, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
36, Married-civ-spouse, Other-service, White, Female,24, <=50K
62, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
43, Married-civ-spouse, Transport-moving, White, Male,45, <=50K
43, Divorced, Exec-managerial, White, Male,45, >50K
22, Married-spouse-absent, Sales, White, Male,55, <=50K
28, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
56, Married-civ-spouse, Sales, White, Male,45, <=50K
22, Never-married, Sales, White, Female,15, <=50K
57, Divorced, Exec-managerial, White, Female,45, >50K
39, Divorced, Sales, White, Female,40, <=50K
26, Never-married, Adm-clerical, White, Female,15, <=50K
17, Never-married, Other-service, White, Male,10, <=50K
40, Married-civ-spouse, Machine-op-inspct, White, Male,38, >50K
45, Married-civ-spouse, Machine-op-inspct, Black, Male,40, <=50K
44, Never-married, Craft-repair, Black, Male,40, <=50K
20, Never-married, Adm-clerical, White, Female,10, <=50K
33, Married-civ-spouse, Craft-repair, White, Female,40, <=50K
23, Never-married, Sales, White, Male,40, <=50K
46, Divorced, Exec-managerial, White, Male,30, <=50K
38, Married-civ-spouse, Sales, White, Male,50, <=50K
54, Divorced, Transport-moving, White, Male,40, <=50K
46, Divorced, Craft-repair, White, Female,45, <=50K
25, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
46, Divorced, Sales, White, Female,40, <=50K
36, Married-civ-spouse, Transport-moving, White, Female,40, <=50K
23, Never-married, Other-service, White, Female,25, <=50K
29, Separated, Machine-op-inspct, White, Male,40, <=50K
44, Married-civ-spouse, Adm-clerical, White, Female,6, >50K
19, Never-married, Adm-clerical, White, Female,16, <=50K
19, Never-married, Other-service, White, Female,40, <=50K
35, Married-civ-spouse, Other-service, White, Female,40, >50K
27, Never-married, Craft-repair, White, Male,50, <=50K
46, Separated, Craft-repair, White, Male,40, <=50K
34, Married-civ-spouse, Exec-managerial, White, Male,45, >50K
34, Never-married, Other-service, White, Female,35, <=50K
44, Married-civ-spouse, Tech-support, White, Male,40, <=50K
45, Divorced, Handlers-cleaners, White, Female,40, <=50K
20, Never-married, ?, White, Female,35, <=50K
25, Married-civ-spouse, Exec-managerial, White, Male,55, >50K
52, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
20, Never-married, Handlers-cleaners, White, Male,40, <=50K
28, Never-married, Other-service, White, Female,40, <=50K
50, Married-civ-spouse, Protective-serv, White, Male,40, >50K
34, Divorced, Tech-support, White, Female,64, <=50K
28, Married-civ-spouse, Handlers-cleaners, Other, Male,40, <=50K
41, Married-civ-spouse, Exec-managerial, White, Male,65, >50K
28, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
46, Married-civ-spouse, Craft-repair, White, Male,25, <=50K
28, Married-civ-spouse, ?, White, Female,40, >50K
32, Married-civ-spouse, Exec-managerial, White, Male,50, <=50K
41, Divorced, Other-service, Black, Female,24, <=50K
24, Never-married, Handlers-cleaners, Black, Female,40, <=50K
33, Divorced, Exec-managerial, White, Female,40, <=50K
46, Married-civ-spouse, Exec-managerial, White, Male,60, >50K
31, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
35, Divorced, Craft-repair, White, Male,50, >50K
52, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
30, Never-married, Other-service, White, Female,19, <=50K
34, Separated, Machine-op-inspct, Black, Male,40, <=50K
34, Divorced, Transport-moving, White, Female,40, <=50K
20, Married-civ-spouse, Sales, White, Male,30, <=50K
17, Never-married, Handlers-cleaners, White, Male,18, <=50K
32, Married-civ-spouse, Exec-managerial, White, Female,40, >50K
29, Divorced, Farming-fishing, White, Male,40, <=50K
33, Never-married, Craft-repair, White, Female,35, <=50K
25, Married-civ-spouse, Transport-moving, White, Male,60, <=50K
36, Never-married, Prof-specialty, White, Male,40, <=50K
23, Never-married, Handlers-cleaners, White, Male,72, <=50K
63, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
47, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
80, Widowed, ?, White, Male,24, <=50K
17, Never-married, ?, White, Male,40, <=50K
40, Married-spouse-absent, Prof-specialty, White, Female,40, <=50K
30, Married-civ-spouse, Other-service, White, Female,25, >50K
27, Never-married, Craft-repair, Asian-Pac-Islander, Male,40, <=50K
33, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
34, Never-married, Farming-fishing, Black, Male,60, <=50K
34, Never-married, Protective-serv, White, Female,40, <=50K
23, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
42, Married-civ-spouse, Adm-clerical, White, Female,40, <=50K
29, Never-married, Prof-specialty, White, Male,40, <=50K
45, Divorced, Adm-clerical, White, Female,28, <=50K
24, Never-married, Armed-Forces, White, Male,40, <=50K
44, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
27, Never-married, Craft-repair, White, Male,40, <=50K
20, Never-married, Sales, White, Male,35, <=50K
44, Widowed, Exec-managerial, Black, Female,40, <=50K
51, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male,40, <=50K
20, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
17, Never-married, ?, White, Female,5, <=50K
19, Never-married, Machine-op-inspct, Black, Female,40, <=50K
45, Married-civ-spouse, Craft-repair, White, Male,55, >50K
60, Married-civ-spouse, Craft-repair, White, Male,40, >50K
42, Married-civ-spouse, Exec-managerial, Black, Male,40, >50K
44, Married-civ-spouse, Sales, White, Female,40, >50K
40, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male,40, >50K
30, Married-civ-spouse, Exec-managerial, White, Female,40, <=50K
38, Married-civ-spouse, Transport-moving, Black, Male,50, <=50K
23, Married-civ-spouse, Transport-moving, White, Male,60, <=50K
32, Married-civ-spouse, ?, White, Male,40, <=50K
44, Never-married, Farming-fishing, White, Male,40, <=50K
54, Married-civ-spouse, Transport-moving, Black, Male,40, <=50K
32, Married-civ-spouse, Prof-specialty, White, Male,50, <=50K
50, Married-spouse-absent, Craft-repair, White, Male,40, <=50K
24, Never-married, Tech-support, White, Female,20, <=50K
37, Married-civ-spouse, Adm-clerical, White, Female,60, <=50K
52, Divorced, Transport-moving, White, Male,40, <=50K
38, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
49, Married-civ-spouse, Exec-managerial, White, Male,45, >50K
30, Married-civ-spouse, Tech-support, White, Female,16, >50K
60, Never-married, Prof-specialty, White, Male,40, >50K
22, Never-married, ?, White, Male,40, <=50K
35, Never-married, Craft-repair, White, Male,40, <=50K
30, Never-married, Transport-moving, White, Male,60, <=50K
67, Divorced, Other-service, White, Female,24, <=50K
46, Never-married, Craft-repair, White, Female,40, <=50K
17, Never-married, Other-service, White, Male,6, <=50K
22, Never-married, Handlers-cleaners, White, Male,30, <=50K
27, Never-married, Other-service, White, Male,40, <=50K
23, Never-married, Other-service, White, Female,35, <=50K
33, Married-civ-spouse, Craft-repair, White, Male,45, <=50K
43, Married-civ-spouse, Craft-repair, White, Male,20, <=50K
28, Never-married, Prof-specialty, White, Male,20, <=50K
41, Married-spouse-absent, Craft-repair, White, Female,40, <=50K
52, Never-married, ?, Black, Male,40, <=50K
25, Married-spouse-absent, Adm-clerical, Black, Female,20, <=50K
63, Married-civ-spouse, ?, White, Male,35, <=50K
